method,path,router,feature,source
GET,/chrome,webRouter,core,services/web/app/src/router.mjs:1143
GET,/compromised-password,webRouter,core,services/web/app/src/router.mjs:257
GET,/coverage,webRouter,core,services/web/app/src/router.mjs:223
GET,/dev/csrf,webRouter,core,services/web/app/src/router.mjs:1239
GET,/download/project/:Project_id/build/:build_id/output/output.pdf,webRouter,core,services/web/app/src/router.mjs:688
GET,/download/project/:Project_id/build/:editorBuildId/output/cached/:filename,webRouter,core,services/web/app/src/router.mjs:681
GET,/login,webRouter,core,services/web/app/src/router.mjs:246
GET,/login/legacy,webRouter,core,services/web/app/src/router.mjs:273
GET,/logout,webRouter,core,services/web/app/src/router.mjs:293
GET,/notifications,webRouter,core,services/web/app/src/router.mjs:958
GET,/project/:Project_id/build/:build_id/output/:file(.+),webRouter,core,services/web/app/src/router.mjs:715
GET,/project/:Project_id/build/:build_id/output/output.zip,webRouter,core,services/web/app/src/router.mjs:701
GET,/project/:Project_id/download/conversion/:conversionId/:type/build/:buildId/output/:file(.+),webRouter,core,services/web/app/src/router.mjs:829
GET,/project/:Project_id/download/conversion/:type,webRouter,core,services/web/app/src/router.mjs:820
GET,/project/:Project_id/entities,webRouter,core,services/web/app/src/router.mjs:545
GET,/project/:Project_id/output/cached/output.overleaf.json,webRouter,core,services/web/app/src/router.mjs:674
GET,/project/:Project_id/sync/code,webRouter,core,services/web/app/src/router.mjs:735
GET,/project/:Project_id/sync/pdf,webRouter,core,services/web/app/src/router.mjs:741
GET,/project/:Project_id/user/:user_id/build/:build_id/output/:file(.+),webRouter,core,services/web/app/src/router.mjs:723
GET,/project/:Project_id/user/:user_id/build/:build_id/output/output.zip,webRouter,core,services/web/app/src/router.mjs:707
GET,/project/:Project_id/wordcount,webRouter,core,services/web/app/src/router.mjs:747
GET,/project/:project_id/export/:export_id,webRouter,core,services/web/app/src/router.mjs:808
GET,/project/:project_id/export/:export_id/:type,webRouter,core,services/web/app/src/router.mjs:813
GET,/project/:project_id/messages,webRouter,core,services/web/app/src/router.mjs:1086
GET,/project/:project_id/metadata,webRouter,core,services/web/app/src/router.mjs:856
GET,/project/download/zip,webRouter,core,services/web/app/src/router.mjs:848
GET,/read-only/one-time-login,webRouter,core,services/web/app/src/router.mjs:283
GET,/register,webRouter,core,services/web/app/src/router.mjs:299
GET,/restricted,webRouter,core,services/web/app/src/router.mjs:296
GET,/socket-diagnostics,webRouter,core,services/web/app/src/router.mjs:265
GET,/status/compiler/:Project_id,webRouter,core,services/web/app/src/router.mjs:1265
GET,/system/messages,webRouter,core,services/web/app/src/router.mjs:337
GET,/tag,webRouter,core,services/web/app/src/router.mjs:904
GET,/unsupported-browser,webRouter,core,services/web/app/src/router.mjs:1374
GET,/user/email-preferences,webRouter,core,services/web/app/src/router.mjs:486
GET,/user/emails,webRouter,core,services/web/app/src/router.mjs:357
GET,/user/emails/add-secondary,webRouter,core,services/web/app/src/router.mjs:435
GET,/user/emails/confirm,webRouter,core,services/web/app/src/router.mjs:365
GET,/user/emails/confirm-secondary,webRouter,core,services/web/app/src/router.mjs:442
GET,/user/emails/primary-email-check,webRouter,core,services/web/app/src/router.mjs:399
GET,/user/features,webRouter,core,services/web/app/src/router.mjs:510
GET,/user/notification/:notificationId,webRouter,core,services/web/app/src/router.mjs:969
GET,/user/personal_info,webRouter,core,services/web/app/src/router.mjs:500
GET,/user/projects,webRouter,core,services/web/app/src/router.mjs:540
GET,/user/reconfirm,webRouter,core,services/web/app/src/router.mjs:516
GET,/user/sessions,webRouter,core,services/web/app/src/router.mjs:450
GET,/user/sessions/list,webRouter,core,services/web/app/src/router.mjs:456
GET,/user/settings,webRouter,core,services/web/app/src/router.mjs:339
GET,/user/tpds/queues,webRouter,core,services/web/app/src/router.mjs:522
PATCH,/admin/messages/:message_id,webRouter,core,services/web/app/src/router.mjs:1213
POST,/Project/:Project_id/archive,webRouter,core,services/web/app/src/router.mjs:753
POST,/Project/:Project_id/clone,webRouter,core,services/web/app/src/router.mjs:791
POST,/Project/:Project_id/restore,webRouter,core,services/web/app/src/router.mjs:785
POST,/admin/closeEditor,webRouter,core,services/web/app/src/router.mjs:1175
POST,/admin/disconnectAllUsers,webRouter,core,services/web/app/src/router.mjs:1180
POST,/admin/flushProjectToTpds,webRouter,core,services/web/app/src/router.mjs:1186
POST,/admin/messages,webRouter,core,services/web/app/src/router.mjs:1196
POST,/admin/messages/clear,webRouter,core,services/web/app/src/router.mjs:1201
POST,/admin/openEditor,webRouter,core,services/web/app/src/router.mjs:1170
POST,/admin/pollDropboxForUser,webRouter,core,services/web/app/src/router.mjs:1191
POST,/api/project,webRouter,core,services/web/app/src/router.mjs:582
POST,/beta/opt-in,webRouter,core,services/web/app/src/router.mjs:1132
POST,/beta/opt-out,webRouter,core,services/web/app/src/router.mjs:1137
POST,/error/client,webRouter,core,services/web/app/src/router.mjs:1322
POST,/login,webRouter,core,services/web/app/src/router.mjs:249
POST,/login/can-skip-captcha,webRouter,core,services/web/app/src/router.mjs:237
POST,/login/legacy,webRouter,core,services/web/app/src/router.mjs:274
POST,/logout,webRouter,core,services/web/app/src/router.mjs:294
POST,/project/:Project_id/compile,webRouter,core,services/web/app/src/router.mjs:658
POST,/project/:Project_id/compile/stop,webRouter,core,services/web/app/src/router.mjs:668
POST,/project/:Project_id/references/indexAll,webRouter,core,services/web/app/src/router.mjs:1119
POST,/project/:Project_id/rename,webRouter,core,services/web/app/src/router.mjs:797
POST,/project/:Project_id/settings,webRouter,core,services/web/app/src/router.mjs:646
POST,/project/:Project_id/settings/admin,webRouter,core,services/web/app/src/router.mjs:651
POST,/project/:project_id/doc/:doc_id/metadata,webRouter,core,services/web/app/src/router.mjs:867
POST,/project/:project_id/export/:brand_variation_id,webRouter,core,services/web/app/src/router.mjs:803
POST,/project/:project_id/messages,webRouter,core,services/web/app/src/router.mjs:1093
POST,/project/:project_id/messages/:message_id/edit,webRouter,core,services/web/app/src/router.mjs:1109
POST,/project/:project_id/trash,webRouter,core,services/web/app/src/router.mjs:765
POST,/project/new,webRouter,core,services/web/app/src/router.mjs:576
POST,/spelling/learn,webRouter,core,services/web/app/src/router.mjs:1073
POST,/spelling/unlearn,webRouter,core,services/web/app/src/router.mjs:1079
POST,/tag,webRouter,core,services/web/app/src/router.mjs:909
POST,/tag/:tagId/edit,webRouter,core,services/web/app/src/router.mjs:921
POST,/tag/:tagId/project/:projectId,webRouter,core,services/web/app/src/router.mjs:933
POST,/tag/:tagId/projects,webRouter,core,services/web/app/src/router.mjs:939
POST,/tag/:tagId/projects/remove,webRouter,core,services/web/app/src/router.mjs:951
POST,/tag/:tagId/rename,webRouter,core,services/web/app/src/router.mjs:915
POST,/tutorial/:tutorialKey/complete,webRouter,core,services/web/app/src/router.mjs:528
POST,/tutorial/:tutorialKey/postpone,webRouter,core,services/web/app/src/router.mjs:534
POST,/user/delete,webRouter,core,services/web/app/src/router.mjs:492
POST,/user/emails/confirm,webRouter,core,services/web/app/src/router.mjs:370
POST,/user/emails/confirm-code,webRouter,core,services/web/app/src/router.mjs:392
POST,/user/emails/default,webRouter,core,services/web/app/src/router.mjs:420
POST,/user/emails/delete,webRouter,core,services/web/app/src/router.mjs:413
POST,/user/emails/endorse,webRouter,core,services/web/app/src/router.mjs:425
POST,/user/emails/primary-email-check,webRouter,core,services/web/app/src/router.mjs:405
POST,/user/emails/resend-confirmation-code,webRouter,core,services/web/app/src/router.mjs:385
POST,/user/emails/send-confirmation-code,webRouter,core,services/web/app/src/router.mjs:377
POST,/user/newsletter/subscribe,webRouter,core,services/web/app/src/router.mjs:480
POST,/user/newsletter/unsubscribe,webRouter,core,services/web/app/src/router.mjs:474
POST,/user/password/update,webRouter,core,services/web/app/src/router.mjs:350
POST,/user/sessions/clear,webRouter,core,services/web/app/src/router.mjs:461
POST,/user/settings,webRouter,core,services/web/app/src/router.mjs:345
